timestamp,auto_state,duration_s,sample_count,avg_arm_voltage_v,avg_arm_current_a,avg_arm_power_w,min_arm_power_w,max_arm_power_w,energy_wh
2026-08-14T11:24:54,manual,1.368,1,24.579,0.884,21.735,21.735,21.735,0.008260
2026-08-14T11:27:39,idle,164.590,164,24.583,0.879,21.603,20.919,22.171,0.987691
2026-08-14T11:28:57,idle,47.598,48,24.585,0.965,23.714,21.335,30.969,0.313542
2026-08-14T11:28:59,bench_tracking_f,1.984,2,24.585,0.925,22.750,22.743,22.757,0.012535
2026-08-14T11:29:01,bench_tracking_b,2.232,2,24.582,0.927,22.776,22.760,22.792,0.014121
2026-08-14T11:29:03,yaw_correction,1.802,2,24.590,0.926,22.769,22.745,22.794,0.011396
2026-08-14T11:29:09,align_center,5.897,6,24.586,0.926,22.762,22.703,22.805,0.037287
2026-08-14T11:29:10,aruco_centering,0.601,1,24.593,0.932,22.914,22.914,22.914,0.003823
2026-08-14T11:29:13,top_view_scan,3.362,3,24.594,0.925,22.759,22.718,22.800,0.021255
2026-08-14T11:29:16,plant_row_coordinates,3.018,3,24.595,0.925,22.752,22.681,22.807,0.019070
2026-08-14T11:31:12,individual_plant_scan,116.153,116,24.592,0.963,23.685,21.845,27.748,0.764185
2026-08-14T11:52:49,idle,83.867,84,24.646,0.939,23.140,21.386,32.564,0.539080
2026-08-14T11:52:49,bench_tracking_f,0.779,1,24.655,0.908,22.382,22.382,22.382,0.004841
2026-08-14T11:52:50,yaw_correction,0.849,1,24.656,0.905,22.304,22.304,22.304,0.005262
2026-08-14T11:52:56,align_center,6.251,6,24.644,0.904,22.283,22.239,22.333,0.038693
2026-08-14T11:53:02,aruco_centering,6.050,6,24.657,0.904,22.291,22.211,22.381,0.037463
2026-08-14T11:53:06,top_view_scan,3.370,3,24.656,0.900,22.194,22.024,22.334,0.020774
2026-08-14T11:53:09,plant_row_coordinates,2.977,3,24.641,0.907,22.353,22.319,22.405,0.018483
2026-08-14T12:15:13,individual_plant_scan,1323.742,1321,24.658,0.938,23.117,22.013,30.913,8.500255
