timestamp_utc,total_power_rail,total_power_mw,total_power_avg_mw,power_rails_json,tegrastats_raw
2026-08-14T15:24:56.557+00:00,VDD_IN,8561,8561,"{""VDD_IN"":{""current_mw"":8561,""average_mw"":8561},""VDD_CPU_GPU_CV"":{""current_mw"":3119,""average_mw"":3119},""VDD_SOC"":{""current_mw"":1744,""average_mw"":1744}}","08-14-2026 11:24:56 RAM 6816/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [77%@1497,74%@1497,83%@1497,73%@1497,67%@1497,64%@1497,89%@1497,78%@1497] GR3D_FREQ 0% cv0@47.343C cpu@49.562C soc2@46.687C soc0@48.781C cv1@47.343C gpu@47.281C tj@49.843C soc1@49.843C cv2@46.375C VDD_IN 8561mW/8561mW VDD_CPU_GPU_CV 3119mW/3119mW VDD_SOC 1744mW/1744mW"
2026-08-14T15:24:57.565+00:00,VDD_IN,8723,8642,"{""VDD_IN"":{""current_mw"":8723,""average_mw"":8642},""VDD_CPU_GPU_CV"":{""current_mw"":3240,""average_mw"":3180},""VDD_SOC"":{""current_mw"":1785,""average_mw"":1765}}","08-14-2026 11:24:57 RAM 6842/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [79%@1497,64%@1497,68%@1497,74%@1497,82%@1497,63%@1497,97%@1497,61%@1497] GR3D_FREQ 0% cv0@47.625C cpu@49.718C soc2@46.75C soc0@48.937C cv1@47.593C gpu@47.375C tj@49.906C soc1@49.687C cv2@46.5C VDD_IN 8723mW/8642mW VDD_CPU_GPU_CV 3240mW/3180mW VDD_SOC 1785mW/1765mW"
2026-08-14T15:24:58.573+00:00,VDD_IN,8358,8547,"{""VDD_IN"":{""current_mw"":8358,""average_mw"":8547},""VDD_CPU_GPU_CV"":{""current_mw"":3038,""average_mw"":3132},""VDD_SOC"":{""current_mw"":1744,""average_mw"":1758}}","08-14-2026 11:24:58 RAM 6957/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [75%@1497,49%@1497,65%@1497,55%@1497,51%@1497,41%@1497,99%@1497,60%@1497] GR3D_FREQ 0% cv0@47.656C cpu@49.968C soc2@46.718C soc0@48.625C cv1@47.593C gpu@47.218C tj@49.968C soc1@49.718C cv2@46.625C VDD_IN 8358mW/8547mW VDD_CPU_GPU_CV 3038mW/3132mW VDD_SOC 1744mW/1758mW"
2026-08-14T15:24:59.581+00:00,VDD_IN,8804,8612,"{""VDD_IN"":{""current_mw"":8804,""average_mw"":8612},""VDD_CPU_GPU_CV"":{""current_mw"":3078,""average_mw"":3119},""VDD_SOC"":{""current_mw"":1866,""average_mw"":1785}}","08-14-2026 11:24:59 RAM 7130/15656MB (lfb 8x4MB) SWAP 0/7828MB (cached 0MB) CPU [80%@1497,76%@1497,80%@1497,81%@1497,81%@1267,75%@1267,71%@1267,73%@1267] GR3D_FREQ 0% cv0@47.531C cpu@49.406C soc2@46.656C soc0@48.718C cv1@47.5C gpu@47.437C tj@49.875C soc1@49.875C cv2@46.531C VDD_IN 8804mW/8612mW VDD_CPU_GPU_CV 3078mW/3119mW VDD_SOC 1866mW/1785mW"
2026-08-14T15:25:00.588+00:00,VDD_IN,9129,8715,"{""VDD_IN"":{""current_mw"":9129,""average_mw"":8715},""VDD_CPU_GPU_CV"":{""current_mw"":3281,""average_mw"":3151},""VDD_SOC"":{""current_mw"":1866,""average_mw"":1801}}","08-14-2026 11:25:00 RAM 7217/15656MB (lfb 9x4MB) SWAP 0/7828MB (cached 0MB) CPU [90%@1497,71%@1497,65%@1497,67%@1497,71%@1497,83%@1497,67%@1497,76%@1497] GR3D_FREQ 0% cv0@47.687C cpu@49.812C soc2@46.875C soc0@48.906C cv1@47.687C gpu@47.5C tj@49.812C soc1@49.812C cv2@46.656C VDD_IN 9129mW/8715mW VDD_CPU_GPU_CV 3281mW/3151mW VDD_SOC 1866mW/1801mW"
2026-08-14T15:25:01.595+00:00,VDD_IN,9454,8838,"{""VDD_IN"":{""current_mw"":9454,""average_mw"":8838},""VDD_CPU_GPU_CV"":{""current_mw"":3478,""average_mw"":3206},""VDD_SOC"":{""current_mw"":1907,""average_mw"":1819}}","08-14-2026 11:25:01 RAM 7384/15656MB (lfb 8x4MB) SWAP 0/7828MB (cached 0MB) CPU [95%@1497,88%@1497,96%@1497,93%@1497,91%@1497,99%@1497,96%@1497,90%@1497] GR3D_FREQ 0% cv0@47.718C cpu@50C soc2@46.906C soc0@48.781C cv1@47.812C gpu@47.437C tj@50C soc1@49.968C cv2@46.718C VDD_IN 9454mW/8838mW VDD_CPU_GPU_CV 3478mW/3206mW VDD_SOC 1907mW/1819mW"
2026-08-14T15:25:02.605+00:00,VDD_IN,9778,8972,"{""VDD_IN"":{""current_mw"":9778,""average_mw"":8972},""VDD_CPU_GPU_CV"":{""current_mw"":3559,""average_mw"":3256},""VDD_SOC"":{""current_mw"":1988,""average_mw"":1843}}","08-14-2026 11:25:02 RAM 7624/15656MB (lfb 7x4MB) SWAP 0/7828MB (cached 0MB) CPU [90%@1497,76%@1497,93%@1497,92%@1497,94%@1497,91%@1497,89%@1497,85%@1497] GR3D_FREQ 0% cv0@47.875C cpu@50.125C soc2@46.812C soc0@48.875C cv1@47.781C gpu@47.656C tj@50.093C soc1@50.031C cv2@46.656C VDD_IN 9778mW/8972mW VDD_CPU_GPU_CV 3559mW/3256mW VDD_SOC 1988mW/1843mW"
2026-08-14T15:25:03.630+00:00,VDD_IN,9738,9068,"{""VDD_IN"":{""current_mw"":9738,""average_mw"":9068},""VDD_CPU_GPU_CV"":{""current_mw"":3721,""average_mw"":3314},""VDD_SOC"":{""current_mw"":1907,""average_mw"":1851}}","08-14-2026 11:25:03 RAM 7746/15656MB (lfb 6x4MB) SWAP 0/7828MB (cached 0MB) CPU [100%@1497,98%@1497,100%@1497,100%@1497,98%@1497,100%@1497,100%@1497,96%@1497] GR3D_FREQ 0% cv0@47.843C cpu@50.218C soc2@47.031C soc0@48.843C cv1@47.906C gpu@47.5C tj@50.218C soc1@49.937C cv2@46.718C VDD_IN 9738mW/9068mW VDD_CPU_GPU_CV 3721mW/3314mW VDD_SOC 1907mW/1851mW"
2026-08-14T15:25:04.645+00:00,VDD_IN,9819,9152,"{""VDD_IN"":{""current_mw"":9819,""average_mw"":9152},""VDD_CPU_GPU_CV"":{""current_mw"":3599,""average_mw"":3346},""VDD_SOC"":{""current_mw"":1988,""average_mw"":1866}}","08-14-2026 11:25:04 RAM 7846/15656MB (lfb 8x4MB) SWAP 0/7828MB (cached 0MB) CPU [89%@1497,88%@1497,93%@1497,91%@1497,99%@1497,96%@1497,94%@1497,92%@1497] GR3D_FREQ 0% cv0@48.062C cpu@50.25C soc2@47C soc0@48.906C cv1@47.968C gpu@47.468C tj@50.25C soc1@50C cv2@46.781C VDD_IN 9819mW/9152mW VDD_CPU_GPU_CV 3599mW/3346mW VDD_SOC 1988mW/1866mW"
2026-08-14T15:25:05.654+00:00,VDD_IN,10022,9239,"{""VDD_IN"":{""current_mw"":10022,""average_mw"":9239},""VDD_CPU_GPU_CV"":{""current_mw"":3802,""average_mw"":3392},""VDD_SOC"":{""current_mw"":1988,""average_mw"":1878}}","08-14-2026 11:25:05 RAM 8071/15656MB (lfb 11x4MB) SWAP 0/7828MB (cached 0MB) CPU [94%@1497,96%@1497,93%@1497,90%@1497,98%@1497,97%@1497,93%@1497,92%@1497] GR3D_FREQ 0% cv0@48.187C cpu@50.562C soc2@46.968C soc0@49C cv1@47.781C gpu@47.593C tj@50.562C soc1@50.062C cv2@46.843C VDD_IN 10022mW/9239mW VDD_CPU_GPU_CV 3802mW/3392mW VDD_SOC 1988mW/1878mW"
